id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
68833,Horizons West,Dan il terribile,1952,Western,81,USA,5.7,,6,10,0,2,0,2
68844,Mr. Dynamite: The Rise of James Brown,Mr. Dynamite: The Rise of James Brown,2014,Documentario,130,USA,6.2,5.0,7,4,0,0,0,0
68846,"Più tardi Claire, più tardi...","Più tardi Claire, più tardi...",1968,Thriller,93,Italia,3.8,3.0,5,3,0,0,0,0
68871,Der Leone Have Sept Cabeças,Il leone a sette teste,1970,Drammatico,103,"Brasile, Italia, Francia",6.5,6.0,7,3,0,0,0,0
68878,Meshi,Il pasto,1951,Drammatico,97,Giappone,8.3,8.5,8,7,0,0,0,0
68882,Age of Dinosaurs,Age of Dinosaurs,2013,Fantascienza,88,USA,2.4,,2,7,0,0,0,0
68886,Eventyrland,It's Only Make Believe,2013,Drammatico,91,Norvegia,6.8,8.0,6,3,0,0,0,0
68890,"Oliver, Stoned.",Oliver Stoned,2014,Commedia,90,USA,4.3,,4,4,2,3,0,0
68892,Aberdeen,Aberdeen,2014,Drammatico,96,Hong Kong,6.8,,7,4,0,0,0,0
68899,Rammbock,Rammbock,2010,Horror,63,Germania,7.2,7.0,7,8,0,0,0,0
68904,Hack!,Hack!,2007,Horror,89,USA,2.0,,2,6,0,2,1,1
